R;G;B
154;135;104
129;114;090
142;134;113
124;103;079
150;124;099
123;110;097
087;087;083
113;116;111
142;117;083
151;132;104
147;118;096
157;128;108
133;122;101
089;095;096
098;090;075
100;100;092
100;076;067
080;073;063
136;118;092
127;107;084
089;076;056
103;100;112
078;090;097
079;080;076
118;094;073
171;158;139
174;164;147
177;164;149
159;146;131
168;155;139
171;159;144
170;157;143
162;150;134
166;158;143
170;161;144
164;153;143
174;166;152
172;163;148
174;167;151
176;168;153
164;166;155
172;165;150
176;167;153
176;167;152
177;169;154
159;149;134
170;162;147
170;159;145
171;162;147
172;161;145
178;167;150
172;162;143
170;159;142
176;164;149
176;170;152
174;158;141
177;161;145
156;140;117
104;113;093
111;103;089
170;162;147
124;113;093
084;090;093
156;155;134
115;093;072
116;092;067
114;128;134
118;117;104
134;113;090
156;136;111
161;138;112
138;100;080
152;138;105
156;143;107
103;110;115
115;118;115
136;112;081
138;116;084
149;127;097
143;130;110
133;114;084
139;122;092
074;064;056
153;143;130
162;151;140
164;155;139
163;158;136
148;145;141
167;152;143
162;152;137
159;150;135
141;132;122
147;137;119
151;137;110
140;127;082
135;133;116
133;125;094
144;144;120
131;108;062
123;111;099
127;140;145
104;108;090
144;119;095
144;088;067
154;095;071
120;091;063
134;102;056
135;134;125
111;086;060
099;085;067
081;074;067
162;137;123
140;138;113
111;101;087
095;072;061
121;093;073
175;164;147
170;163;139
174;162;145
184;171;152
176;164;147
176;168;151
165;156;141
172;163;148
176;165;154
177;167;154
174;166;151
174;165;150
170;161;146
136;126;112
172;163;149
177;169;154
179;170;155
170;157;148
162;165;153
175;165;148
175;165;147
174;165;150
173;166;151
166;157;142
172;163;148
173;164;149
175;166;152
177;167;155
170;161;147
169;162;148
154;144;128
167;157;140
167;155;136
167;155;137
166;154;137
172;164;147
172;159;145
168;152;137
153;147;134
157;148;133
163;153;136
138;123;105
135;115;099
111;109;100
116;109;093
126;109;084
109;099;078
146;130;097
143;098;081
145;088;078
144;126;107
144;130;104
115;100;071
135;124;111
166;143;118
120;106;085
115;103;081
117;112;098
156;147;124
153;147;125
158;146;128
150;139;126
148;139;125
161;152;136
160;152;135
149;145;141
162;149;141
165;156;139
164;152;136
166;154;142
156;148;132
166;155;140
172;159;142
142;136;121
140;125;102
154;139;116
161;145;121
159;142;117
140;134;114
157;145;122
157;149;131
168;130;116
133;116;096
130;105;084
108;086;079
137;117;101
138;122;103
145;132;116
162;148;132
159;151;133
158;149;131
150;141;129
163;151;135
170;159;136
168;159;141
170;160;144
175;165;148
173;159;143
175;163;146
164;155;139
167;156;141
163;152;136
168;159;142
176;167;151
174;166;151
172;163;148
173;163;149
173;164;150
168;158;143
173;165;150
173;165;149
175;166;149
163;167;154
173;171;155
171;163;148
172;162;146
173;163;150
157;146;131
170;161;146
173;165;150
175;168;152
167;158;143
169;159;144
168;158;142
168;157;141
165;152;136
152;139;122
174;162;146
176;165;148
177;167;149
176;163;148
173;164;146
170;159;141
170;160;143
144;134;122
166;155;144
171;161;147
165;152;138
167;157;141
173;166;153
165;156;141
167;159;143
165;158;140
170;161;143
164;152;137
163;155;137
163;152;136
166;153;136
167;154;138
155;144;128
161;152;134
147;136;117
154;145;130
165;156;141
164;155;140
167;158;142
163;151;136
164;151;135
164;154;137
151;149;145
158;154;135
161;150;141
164;155;137
163;153;136
162;152;138
165;156;141
164;156;141
160;151;136
139;130;120
157;150;132
163;153;137
158;149;134
166;156;140
164;155;138
167;158;141
163;154;139
164;154;136
170;156;140
168;156;140
171;159;143
171;158;146
165;155;140
174;165;150
173;163;148
172;163;149
170;161;145
164;155;137
170;158;143
170;157;142
173;161;144
169;156;140
173;160;145
176;164;149
174;164;150
153;141;122
162;152;134
168;159;144
170;162;147
170;161;146
174;165;150
175;167;152
173;163;147
169;160;146
158;149;134
167;154;140
174;164;152
172;162;150
161;163;152
166;162;146
166;157;146
166;155;143
169;157;144
168;158;144
153;144;127
172;164;148
178;169;154
173;164;148
168;159;144
165;156;141
165;157;142
167;159;143
160;149;132
159;150;134
173;162;146
175;163;148
170;159;144
171;160;143
170;159;145
175;164;150
170;160;143
176;169;153
175;166;152
172;164;149
175;166;151
170;161;145
165;155;141
169;155;140
171;159;143
171;159;143
166;157;141
168;159;144
164;155;139
169;160;144
163;154;137
166;157;142
167;159;143
164;158;139
130;124;112
167;159;142
